[342]  Download:    0043 [4541] 
[343]  Download:    0004 [4542] 
[351]  Copy from old code forward, StartingX =   1355 , Starting Y = 1355 , length =  23  
[352]  Download:    0084 [455A] 
[353]  Download:    0049 [455B] 
[354]  Download:    00C5 [455C] 
[355]  Download:    003F [455D] 
[356]  Download:    0021 [455E] 
[357]  Download:    0053 [455F] 
[358]  Download:    0030 [4560] 
[359]  Download:    0040 [4561] 
[360]  Download:    0060 [4562] 
[368]  Copy from old code forward, StartingX =   1387 , Starting Y = 1387 , length =  55  
[376]  Copy from new code forward, StartingX =   1322 , Starting Y = 1442 , length =  40  
[384]  Copy from old code forward, StartingX =   1482 , Starting Y = 1482 , length =  22  
[385]  Download:    00A0 [45D8] 
[393]  Copy from old code forward, StartingX =   1505 , Starting Y = 1505 , length =  71  
[394]  Download:    0014 [4620] 
[402]  Copy from old code forward, StartingX =   1577 , Starting Y = 1577 , length =  15  
[403]  Download:    0014 [4630] 
[404]  Download:    0011 [4631] 
[405]  Download:    0015 [4632] 
[406]  Download:    007E [4633] 
[407]  Download:    0016 [4634] 
[415]  Copy from old code forward, StartingX =   1597 , Starting Y = 1597 , length =  63  
[416]  Download:    0032 [4674] 
[417]  Download:    0011 [4675] 
[418]  Download:    0082 [4676] 
[419]  Download:    0048 [4677] 
[420]  Download:    0034 [4678] 
[421]  Download:    0011 [4679] 
[422]  Download:    00D2 [467A] 
[423]  Download:    0043 [467B] 
[424]  Download:    0006 [467C] 
[432]  Copy from old code forward, StartingX =   1669 , Starting Y = 1669 , length =  11  
[433]  Download:    0062 [4688] 
[441]  Copy from old code forward, StartingX =   1681 , Starting Y = 1681 , length =  55  
[442]  Download:    0014 [46C0] 
[443]  Download:    0011 [46C1] 
[444]  Download:    005F [46C2] 
[445]  Download:    004E [46C3] 
[446]  Download:    0008 [46C4] 
[447]  Download:    0000 [46C5] 
[448]  Download:    006F [46C6] 
[449]  Download:    00F3 [46C7] 
[450]  Download:    003F [46C8] 
[451]  Download:    0024 [46C9] 
[452]  Download:    0007 [46CA] 
[453]  Download:    0049 [46CB] 
[454]  Download:    0008 [46CC] 
[455]  Download:    004A [46CD] 
[456]  Download:    0017 [46CE] 
[457]  Download:    008D [46CF] 
[458]  Download:    0014 [46D0] 
[459]  Download:    0011 [46D1] 
[460]  Download:    0018 [46D2] 
[461]  Download:    007D [46D3] 
[462]  Download:    0016 [46D4] 
[470]  Copy from old code forward, StartingX =   1757 , Starting Y = 1757 , length =  13  
[471]  Download:    0032 [46E2] 
[479]  Copy from old code forward, StartingX =   1771 , Starting Y = 1771 , length =  31  
[480]  Download:    0014 [4702] 
[488]  Copy from old code forward, StartingX =   1803 , Starting Y = 1803 , length =  9  
[489]  Download:    0021 [470C] 
[490]  Download:    003C [470D] 
[491]  Download:    002F [470E] 
[492]  Download:    0093 [470F] 
[493]  Download:    0013 [4710] 
[494]  Download:    0024 [4711] 
[495]  Download:    001E [4712] 
[496]  Download:    003C [4713] 
[497]  Download:    00D2 [4714] 
[498]  Download:    0053 [4715] 
[499]  Download:    0002 [4716] 
[500]  Download:    0011 [4717] 
[501]  Download:    005F [4718] 
[502]  Download:    0042 [4719] 
[503]  Download:    0002 [471A] 
[504]  Download:    0011 [471B] 
[505]  Download:    005F [471C] 
[506]  Download:    00F3 [471D] 
[507]  Download:    0018 [471E] 
[508]  Download:    0024 [471F] 
[516]  Copy from old code forward, StartingX =   1820 , Starting Y = 1832 , length =  46  
[517]  Download:    00AE [474E] 
[525]  Copy from old code forward, StartingX =   1867 , Starting Y = 1879 , length =  45  
[526]  Download:    000C [477C] 
[527]  Download:    0011 [477D] 
[528]  Download:    0082 [477E] 
[529]  Download:    004B [477F] 
[530]  Download:    000E [4780] 
[531]  Download:    0011 [4781] 
[532]  Download:    0082 [4782] 
[533]  Download:    0048 [4783] 
[534]  Download:    0008 [4784] 
[535]  Download:    0011 [4785] 
[536]  Download:    0082 [4786] 
[537]  Download:    0049 [4787] 
[538]  Download:    000A [4788] 
[546]  Copy from old code forward, StartingX =   1925 , Starting Y = 1937 , length =  29  
[547]  Download:    0006 [47A6] 
[555]  Copy from old code forward, StartingX =   1955 , Starting Y = 1967 , length =  9  
[556]  Download:    000C [47B0] 
[557]  Download:    0011 [47B1] 
[558]  Download:    001B [47B2] 
[559]  Download:    0042 [47B3] 
[560]  Download:    000E [47B4] 
[561]  Download:    0011 [47B5] 
[562]  Download:    001A [47B6] 
[563]  Download:    0052 [47B7] 
[564]  Download:    0008 [47B8] 
[565]  Download:    0011 [47B9] 
[566]  Download:    001B [47BA] 
[567]  Download:    0062 [47BB] 
[568]  Download:    000A [47BC] 
[569]  Download:    0011 [47BD] 
[570]  Download:    00B0 [47BE] 
[571]  Download:    0012 [47BF] 
[572]  Download:    0060 [47C0] 
[573]  Download:    0040 [47C1] 
[574]  Download:    00C2 [47C2] 
[575]  Download:    0043 [47C3] 
[576]  Download:    0006 [47C4] 
[577]  Download:    0011 [47C5] 
[578]  Download:    001C [47C6] 
[579]  Download:    0042 [47C7] 
[580]  Download:    0032 [47C8] 
[581]  Download:    0011 [47C9] 
[582]  Download:    001D [47CA] 
[583]  Download:    0042 [47CB] 
[584]  Download:    0034 [47CC] 
[585]  Download:    0011 [47CD] 
[586]  Download:    000E [47CE] 
[587]  Download:    004A [47CF] 
[588]  Download:    000F [47D0] 
[589]  Download:    004B [47D1] 
[590]  Download:    00B0 [47D2] 
[591]  Download:    0012 [47D3] 
[592]  Download:    0062 [47D4] 
[600]  Copy from old code forward, StartingX =   2001 , Starting Y = 2013 , length =  55  
[601]  Download:    0014 [480C] 
[602]  Download:    0011 [480D] 
[603]  Download:    008F [480E] 
[604]  Download:    004C [480F] 
[605]  Download:    0014 [4810] 
[606]  Download:    0011 [4811] 
[607]  Download:    008F [4812] 
[608]  Download:    004D [4813] 
[609]  Download:    0016 [4814] 
[617]  Copy from old code forward, StartingX =   2065 , Starting Y = 2077 , length =  143  
[618]  Download:    00AA [48A4] 
[626]  Copy from old code forward, StartingX =   2209 , Starting Y = 2221 , length =  237  
[627]  Download:    00A0 [4992] 
[635]  Copy from old code forward, StartingX =   2447 , Starting Y = 2459 , length =  211  
[636]  Download:    0000 [4A66] 
[644]  Copy from old code forward, StartingX =   2657 , Starting Y = 2671 , length =  49  
